`artistID`|`artistName`|`artistNo`|`trackID`
`5K4W6rqBFWDnAN6FQUkS6x`|`Kanye West`|1|`41on8RwRh22IHcChAN2gm8`
`63MQldklfxkjYDoUE4Tppz`|`M83`|0|`1eyzqe2QqGZUmfcPZtrIyt`
`0SwO7SWeDHJijQ3XNS7xEE`|`MGMT`|0|`1jJci4qxiYcOHhQR247rEU`
`26T3LtbuGT1Fu9m0eRq5X3`|`Cage The Elephant`|0|`3kb72STxc2959ZqsTwu52i`
`02kJSzxNuaWGqwubyUba0Z`|`G-Eazy`|0|`2DQ1ITjI0YoLFzuADN1ZBW`
`13ubrt8QOOCPljQ2FL1Kca`|`A$AP Rocky`|1|`2DQ1ITjI0YoLFzuADN1ZBW`
`4kYSro6naA4h99UJvo89HB`|`Cardi B`|2|`2DQ1ITjI0YoLFzuADN1ZBW`
`4WN5naL3ofxrVBgFpguzKo`|`Rudimental`|0|`5CLGzJsGqhCEECcpnFQA8x`
`4ScCswdRlyA23odg9thgIO`|`Jess Glynne`|1|`5CLGzJsGqhCEECcpnFQA8x`
`3JhNCzhSMTxs9WLGJJxWOY`|`Macklemore`|2|`5CLGzJsGqhCEECcpnFQA8x`
`2U3FuHYvL3vhkbDAXm24Ep`|`Dan Caplen`|3|`5CLGzJsGqhCEECcpnFQA8x`
`1dWEYMPtNmvSVaDNLgB6NV`|`Saint Motel`|0|`2Iq6HhIquO7JKr0KfTNLzU`
`2qxJFvFYMEDqd7ui6kSAcq`|`Zedd`|0|`2ARqIya5NAuvFVHSN3bL0m`
`6WY7D3jk8zTrHtmkqqo5GI`|`Maren Morris`|1|`2ARqIya5NAuvFVHSN3bL0m`
`4lDBihdpMlOalxy1jkUbPl`|`Grey`|2|`2ARqIya5NAuvFVHSN3bL0m`
`60d24wfXkVzDSfLS6hyCjZ`|`Martin Garrix`|0|`0OlnLZY4cmQzT6ZGttvWBM`
`1Cs0zKBU1kc0i8ypK3B9ai`|`David Guetta`|1|`0OlnLZY4cmQzT6ZGttvWBM`
`29QbBR0oTzA7A0kiOzrbbr`|`Jamie Scott`|2|`0OlnLZY4cmQzT6ZGttvWBM`
`5gWzmnHTLNXz5CjOc0wAuK`|`Romy Dya`|3|`0OlnLZY4cmQzT6ZGttvWBM`
`6MDME20pz9RveH9rEXvrOM`|`Clean Bandit`|0|`2xmrfQpmS2iJExTlklLoAL`
`0ZED1XzwlLHW4ZaG4lOT6m`|`Julia Michaels`|1|`2xmrfQpmS2iJExTlklLoAL`
`14rP13jdQNgQvuPA2AkBgm`|`Glades`|0|`45w70aQhNwke1yrQZO0ffm`
`28ExwzUQsvgJooOI0X1mr3`|`Jay Rock`|0|`51rXHuKN8Loc4sUlKPODgH`
